ID,Room Type,Size,walls,ceiling,trim,door,window,crown_molding,shelving,cabinets,Decision,Target Values,Notes
CAT-001,Kitchen,Small,475,99,62,84,83,62,0,0,,,
CAT-002,Kitchen,Medium,755,290,62,84,83,62,0,0,,,
CAT-003,Kitchen,Large,845,396,62,84,83,62,0,0,,,
CAT-004,Living Room,Small,792,356,62,84,83,62,0,0,,,
CAT-005,Living Room,Medium,950,528,62,84,83,62,0,0,,,
CAT-006,Living Room,Large,1056,813,62,84,83,62,0,0,,,
CAT-007,Bedroom,Small,528,165,62,84,83,62,0,0,,,
CAT-008,Bedroom,Medium,570,214,62,84,83,62,0,0,,,
CAT-009,Bedroom,Large,624,333,62,84,83,62,0,0,,,
CAT-010,Master Bedroom,Small,755,296,62,84,83,62,0,0,,,
CAT-011,Master Bedroom,Medium,898,446,62,84,83,62,0,0,,,
CAT-012,Master Bedroom,Large,1056,653,62,84,83,62,0,0,,,
CAT-013,Dining Room,Small,697,238,62,84,83,62,0,0,,,
CAT-014,Dining Room,Medium,813,348,62,84,83,62,0,0,,,
CAT-015,Dining Room,Large,929,457,62,84,83,62,0,0,,,
CAT-016,Bathroom,Small,368,63,62,84,83,62,0,0,,,
CAT-017,Bathroom,Medium,535,125,62,84,83,62,0,0,,,
CAT-018,Bathroom,Large,635,176,62,84,83,62,0,0,,,
CAT-019,Full Bathroom,Small,502,94,62,84,83,62,0,0,,,
CAT-020,Full Bathroom,Medium,568,146,62,84,83,62,0,0,,,
CAT-021,Full Bathroom,Large,669,201,62,84,83,62,0,0,,,
CAT-022,Foyer/Hallway,Small,401,75,62,84,83,62,0,0,,,
CAT-023,Foyer/Hallway,Medium,493,154,62,84,83,62,0,0,,,
CAT-024,Foyer/Hallway,Large,648,211,62,84,83,62,0,0,,,
CAT-025,Closet,Small,106,20,62,84,0,0,0,0,,,
CAT-026,Closet,Medium,121,19,62,84,0,0,0,0,,,
CAT-027,Closet,Large,155,24,62,84,0,0,0,0,,,
CAT-028,Den,Small,634,198,62,84,83,62,0,0,,,
CAT-029,Den,Medium,697,261,62,84,83,62,0,0,,,
CAT-030,Den,Large,792,370,62,84,83,62,0,0,,,
CAT-031,Home Office,Small,737,158,62,84,83,62,0,0,,,
CAT-032,Home Office,Medium,824,333,62,84,83,62,0,0,,,
CAT-033,Home Office,Large,929,457,62,84,83,62,0,0,,,
CAT-034,Laundry Room,Small,293,37,62,84,83,0,0,0,,,
CAT-035,Laundry Room,Medium,456,98,62,84,83,0,0,0,,,
CAT-036,Laundry Room,Large,696,150,62,84,83,0,0,0,,,
CAT-037,Stairwell,Small,570,135,62,0,83,62,0,0,,,
CAT-038,Stairwell,Medium,1014,194,62,0,83,62,0,0,,,
CAT-039,Stairwell,Large,1521,299,62,0,83,62,0,0,,,
CAT-040,Family Room,Small,838,359,62,84,83,62,0,0,,,
CAT-041,Family Room,Medium,928,955,62,84,83,62,0,0,,,
CAT-042,Family Room,Large,1091,655,62,84,83,62,0,0,,,
CAT-043,Recreation Room,Small,898,404,62,84,83,62,0,0,,,
CAT-044,Recreation Room,Medium,1091,655,62,84,83,62,0,0,,,
CAT-045,Recreation Room,Large,1183,832,62,84,83,62,0,0,,,
